,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
139,Guinea-Bissau,0.42100000000000004,GNB,SubSaharian,961.26001,,,3.5699998999999996,,5.593137264251709
71,Guyana,0.63800001,GUY,Caribbean,2042.8199,0.7559999823570251,29.0,7.639999900000001,,5.247803688049316
189,Uzbekistan,0.69700003,UZB,East Europe,7370.7202,29.74600028991699,,2.8299999,13.3,5.838521957397461
143,Russia,0.80500001,RUS,East Europe,19063.689,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799
68,Grenada,0.75099999,GRD,Caribbean,8314.5596,,,8.4200001,,6.09761381149292
79,Iraq,0.64899999,IRQ,NorthAfrica,4178.2598,32.57799911499023,,0.17,,5.538873195648193
121,Netherlands,0.92299998,NLD,WesternDem,42258.352,16.86499977111816,3.4000000953674316,8.680000300000001,25.700001,10.89729309082031
30,Canada,0.91900003,CAN,WesternDem,36577.078,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455
104,Malaysia (1966-),0.787,MYS,SouthEastAsia,12284.27,30.70899963378906,7.300000190734862,0.51999998,22.299999,4.169077873229981
171,Thailand,0.73799998,THA,SouthEastAsia,9295.5703,68.65699768066406,11.399999618530268,6.4099998,21.5,4.122164249420166
105,Maldives,0.70099998,MDV,SouthAsia,13349.76,0.335999995470047,,1.92,,13.7335205078125
50,Dominican Republic,0.71799999,DOM,Latam,10376.63,,22.79999923706055,5.920000099999999,14.5,4.375777721405028
84,Jamaica,0.72899997,JAM,Caribbean,4668.77,2.799000024795532,14.399999618530268,3.8299999,17.6,5.36152458190918
13,Armenia,0.741,ARM,East Europe,6451.9399,2.9800000190734863,14.699999809265142,3.9100001000000004,28.0,4.480149269104004
175,United Arab Emirates,0.83600003,ARE,NorthAfrica,20310.109,,7.199999809265138,1.91,,3.643985748291016
25,Myanmar,0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,41.099998474121094,0.69999999,20.0,2.275754690170288
161,Zimbabwe,0.50700003,ZWE,SubSaharian,15997.67,12.45899963378906,55.70000076293945,6.5,,6.439471244812013
